timestamp_minute,anomaly_score,triggered_features,rationale_text
2025-05-02 09:23:00,38,"['anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92052', 'anomaly_medium_or_higher', 'anomaly_score']",Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; cmd prompt started by suspicious process [T1059.003]; Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 09:24:00,0,[],
2025-05-02 09:25:00,0,[],
2025-05-02 09:26:00,0,[],
2025-05-02 09:27:00,0,[],
2025-05-02 09:28:00,0,[],
2025-05-02 09:29:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 09:30:00,0,[],
2025-05-02 09:31:00,0,[],
2025-05-02 09:32:00,0,[],
2025-05-02 09:33:00,0,[],
2025-05-02 09:34:00,0,[],
2025-05-02 09:35:00,0,[],
2025-05-02 09:36:00,0,[],
2025-05-02 09:37:00,0,[],
2025-05-02 09:38:00,0,[],
2025-05-02 09:39:00,0,[],
2025-05-02 09:40:00,0,[],
2025-05-02 09:41:00,0,[],
2025-05-02 09:42:00,0,[],
2025-05-02 09:43:00,0,[],
2025-05-02 09:44:00,0,[],
2025-05-02 09:45:00,0,[],
2025-05-02 09:46:00,0,[],
2025-05-02 09:47:00,0,[],
2025-05-02 09:48:00,0,[],
2025-05-02 09:49:00,0,[],
2025-05-02 09:50:00,0,[],
2025-05-02 09:51:00,0,[],
2025-05-02 09:52:00,0,[],
2025-05-02 09:53:00,0,[],
2025-05-02 09:54:00,0,[],
2025-05-02 09:55:00,0,[],
2025-05-02 09:57:00,0,[],
2025-05-02 10:00:00,0,[],
2025-05-02 10:01:00,0,[],
2025-05-02 10:06:00,0,[],
2025-05-02 10:07:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 10:08:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 10:10:00,0,[],
2025-05-02 10:11:00,0,[],
2025-05-02 10:12:00,0,[],
2025-05-02 10:13:00,0,[],
2025-05-02 10:14:00,0,[],
2025-05-02 10:15:00,0,[],
2025-05-02 10:16:00,4,"['anomaly_ruleid_92052', 'anomaly_score']",cmd prompt started by suspicious process [T1059.003]; anomaly_score
2025-05-02 10:17:00,0,[],
2025-05-02 10:18:00,0,[],
2025-05-02 10:19:00,0,[],
2025-05-02 10:20:00,0,[],
2025-05-02 10:22:00,0,[],
2025-05-02 10:23:00,0,[],
2025-05-02 10:24:00,0,[],
2025-05-02 10:28:00,0,[],
2025-05-02 10:30:00,0,[],
2025-05-02 10:37:00,0,[],
2025-05-02 10:40:00,0,[],
2025-05-02 10:43:00,0,[],
2025-05-02 10:44:00,0,[],
2025-05-02 10:45:00,0,[],
2025-05-02 10:52:00,4,"['anomaly_ruleid_92213', 'anomaly_medium_or_higher', 'anomaly_score']",Binary in malware-prone directory [T1105]; Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 10:54:00,0,[],
2025-05-02 11:01:00,0,[],
2025-05-02 11:02:00,0,[],
2025-05-02 11:07:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 11:08:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity); anomaly_score
2025-05-02 11:10:00,0,[],
2025-05-02 11:11:00,0,[],
2025-05-02 11:12:00,0,[],
2025-05-02 11:13:00,0,[],
2025-05-02 11:14:00,0,[],
2025-05-02 11:15:00,0,[],
2025-05-02 11:16:00,0,[],
2025-05-02 11:17:00,4,"['anomaly_ruleid_92052', 'anomaly_score']",cmd prompt started by suspicious process [T1059.003]; anomaly_score
2025-05-02 11:18:00,0,[],
2025-05-02 11:21:00,0,[],
2025-05-02 11:22:00,0,[],
2025-05-02 11:23:00,0,[],
2025-05-02 11:24:00,0,[],
2025-05-02 11:25:00,0,[],
2025-05-02 11:26:00,0,[],
2025-05-02 11:28:00,0,[],
2025-05-02 11:30:00,0,[],
2025-05-02 11:31:00,0,[],
2025-05-02 11:32:00,0,[],
2025-05-02 11:34:00,0,[],
2025-05-02 11:35:00,0,[],
2025-05-02 11:36:00,0,[],
2025-05-02 11:37:00,0,[],
2025-05-02 11:40:00,0,[],
2025-05-02 11:41:00,0,[],
2025-05-02 11:43:00,12,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); NTLM pass-the-hash login [T1550.002]; anomaly_score
2025-05-02 11:44:00,0,[],
