timestamp_minute,anomaly_score,triggered_features,rationale_text
2025-05-09 14:00:00,6,"['anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_score']",Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]
2025-05-09 14:04:00,12,"['anomaly_ruleid_92052', 'anomaly_score']",cmd prompt started by suspicious process [T1059.003]
2025-05-09 14:12:00,4,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity)
2025-05-09 14:13:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity)
2025-05-09 14:28:00,12,"['anomaly_ruleid_92021', 'anomaly_medium_or_higher', 'anomaly_score']",PowerShell deletes files [T1070.004]; Wazuh rule level 7 or above (medium/high severity)
2025-05-09 14:29:00,14,"['anomaly_ruleid_92021', 'anomaly_medium_or_higher', 'anomaly_score']",PowerShell deletes files [T1070.004]; Wazuh rule level 7 or above (medium/high severity)
2025-05-09 14:31:00,2,"['anomaly_powershell_4104', 'anomaly_score']",Suspicious PowerShell script (4104)
2025-05-09 14:58:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity)
2025-05-09 15:00:00,2,"['anomaly_medium_or_higher', 'anomaly_score']",Wazuh rule level 7 or above (medium/high severity)
2025-05-09 15:05:00,4,"['anomaly_ruleid_92052', 'anomaly_score']",cmd prompt started by suspicious process [T1059.003]
2025-05-09 15:07:00,12,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); NTLM pass-the-hash login [T1550.002]
2025-05-09 15:09:00,10,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); NTLM pass-the-hash login [T1550.002]
2025-05-09 15:10:00,22,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:11:00,22,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:12:00,28,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:13:00,20,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:14:00,20,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_win_defender', 'anomaly_ruleid_62123', 'anomaly_medium_or_higher', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]; Windows Defender detected Win32 threat; Defender found potentially unwanted software; Wazuh rule level 7 or above (medium/high severity)
2025-05-09 15:15:00,18,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_win_defender', 'anomaly_ruleid_62124', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]; Windows Defender detected Win32 threat; Defender blocked unwanted software
2025-05-09 15:16:00,6,"['anomaly_win_defender', 'anomaly_ruleid_62123', 'anomaly_medium_or_higher', 'anomaly_score']",Windows Defender detected Win32 threat; Defender found potentially unwanted software; Wazuh rule level 7 or above (medium/high severity)
2025-05-09 15:17:00,24,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_92652', 'anomaly_win_defender', 'anomaly_ruleid_62124', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); NTLM pass-the-hash login [T1550.002]; Windows Defender detected Win32 threat; Defender blocked unwanted software
2025-05-09 15:18:00,12,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); NTLM pass-the-hash login [T1550.002]
2025-05-09 15:19:00,14,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:21:00,14,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:24:00,12,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_ruleid_92213', 'anomaly_medium_or_higher', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]; Binary in malware-prone directory [T1105]; Wazuh rule level 7 or above (medium/high severity)
2025-05-09 15:25:00,16,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]
2025-05-09 15:26:00,12,"['anomaly_ntlm', 'anomaly_logonProcess', 'anomaly_ruleid_67028', 'anomaly_ruleid_92652', 'anomaly_powershell_4104', 'anomaly_ruleid_91815', 'anomaly_score']",NTLM logon (potential relay attack); Suspicious logon process (user32 or NtLmSsp); Special privileges assigned to logon [T1484]; NTLM pass-the-hash login [T1550.002]; Suspicious PowerShell script (4104); PowerShell process discovery [T1057]
